Title	Cost	Students	Duration	Lectures	Levels	Ratings								
"API Testing with Python 3 & PyTest, Backend Automation 2020"	₹420	(383)	17.5 total hours	139 lectures	All Levels	4.6								
Python for Time Series Analysis and Forecasting	₹420	(352)	5 total hours	46 lectures	All Levels	4.3								
Django Masterclass : Build Web Apps With Python & Django	₹420	(426)	18 total hours	152 lectures	All Levels	4.3								
Python and Django Full-Stack Web Development for beginners	₹420	(405)	34.5 total hours	346 lectures	Beginner	4.2								
Beginner's Guide to Python Data Analysis & Visualization	₹420	(248)	4 total hours	51 lectures	Beginner	4.1								
The Complete Python/PostgreSQL Course 2.0	₹420	(387)	13.5 total hours	153 lectures	Intermediate	4.6								
Full stack web development and AI with Python (Django)	₹420	(478)	39.5 total hours	389 lectures	All Levels	4.5								
How to create a CRUD Application with Python and SQL Server	₹420	(150)	4 total hours	35 lectures	Beginner	4.1								
PySpark Essentials for Data Scientists (Big Data + Python)	₹420	(123)	16 total hours	101 lectures	All Levels	4.7								
Cyber Security - Python and Web Applications	₹420	(184)	11.5 total hours	188 lectures	Beginner	4.5								
"Build Real Software with Python, PyQt5 and QT Designer"	₹420	(128)	2 total hours	22 lectures	All Levels	4.5								
"Python, JS, & React | Build a Blockchain & Cryptocurrency"	₹420	(270)	15 total hours	133 lectures	All Levels	4.5								
Time Series Analysis and Forecasting using Python	₹420	(484)	13 total hours	96 lectures	All Levels	4.3								
Python and Flask Full-Stack Web Development for beginners	₹420	(150)	35.5 total hours	348 lectures	Beginner	4.4								
Learn Pro Advanced Python Programming	₹420	(25)	26.5 total hours	173 lectures	Expert	4.7								
"Full-Stack React, Python, and GraphQL"	₹420	(359)	6.5 total hours	65 lectures	All Levels	4.4								
ArcPy for Python Developers using ArcGIS Pro	₹420	(485)	11.5 total hours	78 lectures	All Levels	4.3								
Build a Stock Market Web App With Python and Django	₹420	(386)	4 total hours	41 lectures	Beginner	4.7								
Data Structures and Algorithms In Python	₹420	(468)	10.5 total hours	130 lectures	All Levels	4.2								
Support Vector Machines in Python: SVM Concepts & Code	₹420	(303)	6 total hours	54 lectures	All Levels	4.2								
OpenCV Python For Beginners | Hands on Computer Vision	₹420	(156)	11 total hours	49 lectures	Beginner	4.2								
Step by Step Rest API Testing using Python + Pytest + Allure	₹420	(448)	16 total hours	166 lectures	Intermediate	4.1								
Complete Python Based Image Processing and Computer Vision	₹420	(355)	5.5 total hours	60 lectures	All Levels	4.1								
Data Science A-Z : Machine Learning with Python & R	₹420	(161)	12.5 total hours	90 lectures	All Levels	4.1								
Build a Crypto Currency News Site With Python and Django	₹420	(269)	1.5 total hours	28 lectures	Beginner	4.4								
"The Complete Machine Learning 2020|Python, Math|Dummy To Pro"	₹420	(156)	25 total hours	174 lectures	All Levels	4.5								
The Complete Web Developer Course 2.0	₹420	"(63,443)"	30.5 total hours	308 lectures	All Levels	4.5								
The Python Programming For Everyone Immersive Training	₹420	(251)	3.5 total hours	72 lectures	Beginner	4.1								
Build Library Management System | Python & PyQt5	₹420	(125)	6.5 total hours	40 lectures	All Levels	4.1								
"Software Development From A to Z - OOP, UML, Agile, Python"	₹420	(971)	5.5 total hours	104 lectures	All Levels	4.5								
Python For Those Absolute Beginners Who Never Programmed	₹420	(238)	9.5 total hours	31 lectures	Beginner	4.0								
"Decision Trees, Random Forests, AdaBoost & XGBoost in Python"	₹420	(399)	7 total hours	61 lectures	All Levels	4.4								
Build An API With The Django Rest Framework Using Python	₹420	(250)	1.5 total hours	22 lectures	Beginner	4.3								
Complete Python 3 Ethical Hacking Course: Zero To Mastery	₹420	(129)	8 total hours	65 lectures	All Levels	4.7								
IoT#1: Python Basics for IoT	₹420	(430)	10 total hours	75 lectures	Intermediate	3.8								
Develop a Shopping Cart Website with Django 2 and Python 3	₹420	(347)	7 total hours	25 lectures	All Levels	4.6								
Artificial Neural Networks (ANN) with Keras in Python and R	₹420	(449)	11 total hours	74 lectures	All Levels	4.2								
"C, C++, Python and Ruby Programming"	₹420	(484)	25.5 total hours	307 lectures	All Levels	3.8								
Digital Signal Processing (DSP) From Ground Up™ in Python	₹420	(406)	12.5 total hours	151 lectures	All Levels	4.1								
Create a Python Powered Chatbot in Under 60 Minutes	₹444	(267)	1.5 total hours	31 lectures	Beginner	4.1								
Jump Start in Automation - Selenium WebDriver with Python	₹420	186	3.5 total hours	57 lectures	Beginner	4.1								
Managing EC2 and VPC: AWS with Python and Boto3 Series	₹420	285	4.5 total hours	60 lectures	All Levels	4.5								
Complete Machine Learning and Data Science: Zero to Mastery	₹420	"5,124"	43 total hours	371 lectures	All Levels	4.6								
Manage AWS Using Python: Core Services	₹420	232	2.5 total hours	15 lectures	Beginner	4.3								
Complete Python 3 and Raspberry Pi Masterclass	₹420	121	20.5 total hours	178 lectures	Beginner	4.0								
(NEW) Python Programming Course: The Complete Bootcamp	₹420	12	5.5 total hours	52 lectures	All Levels	4.3								
The Complete Ethical Hacking Course 2.0: Python & Kali Linux	₹420	642	11 total hours	71 lectures	All Levels	3.8								
"Coding for kids: Scratch, Python, Html, Css, Math, Robotics"	₹420	249	11 total hours	135 lectures	Beginner	4.6								
Robot Framework with Python All You Need To Know	₹420	189	5 total hours	42 lectures	All Levels	4.3								
"Ethical Hacking With Python, JavaScript and Kali Linux"	₹420	141	27 total hours	135 lectures	Beginner	4.5								
Python-Introduction to Data Science and Machine learning A-Z	₹420	319	7.5 total hours	51 lectures	Beginner	4.2								
Complete Tensorflow 2 and Keras Deep Learning Bootcamp	₹420	"3,220"	19 total hours	116 lectures	All Levels	4.7								
API and Web Service Introduction	₹420	"7,502"	6.5 total hours	55 lectures	All Levels	4.5								
Complete 2020 Data Science & Machine Learning Bootcamp	₹420	"2,330"	41.5 total hours	207 lectures	All Levels	4.6								
"Web Scraping 101 with Python3 using REQUESTS, LXML & SPLASH"	₹420	228	4.5 total hours	65 lectures	Beginner	4.7								
Image Recognition with Neural Networks From Scratch	₹420	155	3 total hours	7 lectures	All Levels	4.4								
2020 learning python3.8 from beginner to the master	₹420	260	6.5 total hours	92 lectures	Intermediate	4.2								
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)"	₹420	"3,249"	10 total hours	93 lectures	Intermediate	4.5								
Data Science 2020 : Complete Data Science & Machine Learning	₹420	"1,167"	26 total hours	280 lectures	All Levels	4.6								
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
